code,term
857311000000108,Renal transplant rejection
864271000000105,Thrombosis of artery of transplanted kidney
864311000000105,Thrombosis of vein of transplanted kidney
88039007,Transplant of lung
885861000000104,Liver transplant recipient
885871000000106,Heart transplant recipient
885881000000108,Lung transplant recipient
88930008,Total nephrectomy in recipient
896561000000109,Transplantation of stomach
896571000000102,Transplantation of stomach 
896581000000100,Allotransplantation of stomach
896591000000103,Allotransplantation of stomach 
905871000000102,Insertion of nephrostomy tube into transplanted kidney using ultrasonography guidance
905881000000100,Insertion of nephrostomy tube into transplanted kidney using fluoroscopic guidance
911391000000105,Fluoroscopic angiography of transplanted liver with contrast
911671000000103,Biopsy of transplanted liver using ultrasonography guidance
911681000000101,Magnetic resonance angiography of transplanted liver
911771000000107,Computed tomography of transplanted liver
911781000000109,Computed tomography of transplanted liver with contrast
911791000000106,Biopsy of transplanted liver using computed tomography guidance
911811000000107,Magnetic resonance imaging of transplanted liver
913171000000107,Radioisotope hepatobiliary function study with stimulation post transplant
913191000000106,Computed tomography of transplanted small intestine
913201000000108,Magnetic resonance imaging of transplanted small intestine
913221000000104,Magnetic resonance imaging angiography of transplanted small intestine
913281000000103,Fluoroscopy of transplanted small intestine with contrast
913321000000106,Fluoroscopic angiography of transplanted small intestine with contrast
913361000000103,Fluoroscopic venography of transplanted small intestine with contrast
916381000000104,Transplantation of stomach
916391000000102,Transplantation of stomach
916401000000104,Transplantation of stomach
916411000000102,Transplantation of stomach
927531000000100,Ultrasonography of transplanted kidney with contrast
928341000000103,History of heart-lung transplant recipient
955621000000105,Antegrade insertion of stent into ureter of transplanted kidney using fluoroscopic guidance
955631000000107,Retrograde insertion of stent into ureter of transplanted kidney using fluoroscopic guidance
96601000119101,Aftercare for liver transplant done
